20140610	688	693	686	690	691	692	680	686
20140610	835	841	829	829	832	835	823	829
20140610	1175	1180	1168	1171	1175	1178	1157	1166
20140610	3073	3085	3057	3064	3069	3080	3043	3068
20140610	3085	3091	3075	3080	3082	3088	3061	3076
20140610	6800	6834	6752	6770	6792	6806	6714	6780
20140610	11475	11590	11425	11580	11630	11735	11575	11725
20140610	14200	14415	14165	14240	14275	14325	14085	14270
20140610	15570	15740	15530	15575	15620	15660	15450	15590
20140610	5080	5109	5060	5094	5091	5093	5046	5062
20140610	2973	3054	2968	3045	3045	3060	3027	3032
20140610	3742	3789	3732	3767	3755	3776	3740	3747
20140610	6744	6756	6722	6736	6750	6760	6692	6694
20140610	5844	5872	5832	5858	5858	5884	5830	5834
20140610	4075	4080	4057	4070	4073	4076	4059	4065
20140610	4066	4073	4031	4057	4063	4064	4046	4053
20140610	47820	48060	47220	47370	47470	47670	47360	47480
20140610	47450	47750	47050	47170	47260	47470	47160	47290
20140610	2126	2153.8	2115.4	2127	2130	2159.8	2125.4	2157.6
20140610	2118.6	2143.8	2108.0	2120.6	2120.8	2151.0	2119.0	2149.8
