20140701	704	705	692	694	697	702	691	701
20140701	810	812	803	805	806	808	799	803
20140701	1138	1140	1127	1127	1128	1136	1124	1129
20140701	3090	3091	3070	3076	3082	3088	3062	3069
20140701	3090	3092	3071	3073	3080	3090	3065	3082
20140701	7370	7422	7352	7388	7388	7406	7332	7368
20140701	11820	11950	11790	11915	11915	11975	11850	11950
20140701	15000	15070	14860	14885	15010	15065	14735	14860
20140701	16280	16360	16180	16205	16320	16375	16065	16175
20140701	5335	5369	5330	5365	5339	5360	5291	5356
20140701	3041	3092	3036	3091	3010	3027	2964	2996
20140701	3716	3748	3709	3748	3628	3644	3605	3637
20140701	6972	6976	6930	6944	6806	6812	6722	6768
20140701	5968	5970	5926	5930	5796	5844	5732	5786
20140701	4391	4404	4347	4368	4362	4415	4355	4378
20140701	4350	4366	4302	4319	4315	4368	4307	4332
20140701	49900	50050	49720	50050	50100	50900	50000	50860
20140701	49580	49670	49370	49580	49660	50420	49560	50380
20140701	2148.8	2173.6	2148.8	2161.2	2164	2177	2153.8	2163.8
20140701	2144	2166	2143.8	2154.4	2157.8	2170	2145.8	2156.2
