20140723	0.090045	500	15385	59	15380	58	15385	4180	187836
20140723	0.090046	0	15385	64	15380	57	15385	4182	187838
20140723	0.090046	500	15385	64	15380	91	15380	4186	187838
20140723	0.090047	0	15385	17	15380	92	15380	4282	187894
20140723	0.090047	500	15385	4	15380	92	15385	4318	187920
20140723	0.090048	0	15385	13	15380	87	15380	4328	187930
20140723	0.090048	500	15385	12	15380	88	15385	4330	187930
20140723	0.090049	0	15385	15	15380	88	15385	4334	187932
20140723	0.090049	500	15385	15	15380	88	15385	4336	187934
20140723	0.09005	0	15385	5	15380	88	15385	4380	187956
20140723	0.09005	500	15385	4	15380	89	15385	4382	187956
20140723	0.09005	0	15385	5	15380	88	15385	4382	187956
20140723	0.090051	500	15385	20	15380	87	15385	4406	187972
20140723	0.090051	0	15385	20	15380	97	15385	4406	187972
20140723	0.090052	500	15385	20	15380	97	15385	4408	187974
20140723	0.090053	0	15385	19	15380	97	15385	4410	187976
20140723	0.090053	500	15385	20	15380	98	15385	4412	187978
20140723	0.090054	0	15385	19	15380	98	15385	4414	187978
20140723	0.090054	500	15385	18	15380	98	15385	4416	187978
20140723	0.090055	0	15385	19	15380	99	15385	4418	187978
20140723	0.090055	500	15385	16	15380	69	15385	4486	188022
20140723	0.090056	0	15385	3	15380	69	15385	4516	188030
20140723	0.090056	500	15385	8	15380	69	15385	4516	188030
20140723	0.090057	0	15385	5	15380	68	15385	4526	188036
20140723	0.090057	500	15385	4	15380	69	15385	4530	188038
20140723	0.090058	0	15385	6	15380	67	15380	4536	188044
20140723	0.090058	500	15385	3	15380	67	15385	4546	188050
20140723	0.090059	0	15390	198	15385	8	15390	4570	188054
20140723	0.090059	500	15385	1	15380	66	15385	4588	188070
20140723	0.0901	0	15385	4	15380	62	15380	4626	188064
20140723	0.0901	500	15390	198	15380	61	15380	4638	188066
20140723	0.090101	0	15390	189	15385	1	15390	4662	188068
20140723	0.090101	500	15390	189	15380	63	15385	4664	188070
20140723	0.090102	0	15390	189	15385	41	15385	4670	188074
20140723	0.090102	500	15390	183	15385	40	15390	4684	188074
20140723	0.090103	0	15390	180	15385	23	15385	4724	188114
20140723	0.090103	500	15395	75	15390	45	15390	5110	188154
20140723	0.090104	0	15395	25	15390	51	15395	5210	188254
20140723	0.090104	500	15400	49	15395	16	15395	5254	188228
20140723	0.090105	0	15400	56	15395	10	15400	5282	188250
20140723	0.090105	500	15400	63	15395	22	15400	5304	188254
20140723	0.090106	0	15400	60	15395	27	15395	5322	188250
20140723	0.090106	500	15400	80	15395	28	15400	5326	188250
20140723	0.090107	0	15395	10	15390	18	15395	5386	188236
20140723	0.090107	500	15395	6	15390	18	15390	5454	188254
20140723	0.090108	0	15395	12	15390	12	15395	5458	188254
20140723	0.090108	500	15395	30	15390	12	15390	5472	188252
20140723	0.090109	0	15395	39	15390	13	15395	5474	188254
20140723	0.090109	500	15395	37	15390	13	15395	5476	188256
20140723	0.09011	0	15395	35	15390	12	15395	5484	188262
